X1 X2 X3 X4 X5 y  
1 0 1.5714285714285714 6 2 21
2 0 0.5 4 3 2
2 0 0.35714285714285715 4 3 1
2 1 0.42857142857142855 4 6 11
1 0 5.5 2 1 0
1 0 3.6666666666666665 2 1 22
1 1 1.2 4 5 23
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
2 0 1.8 4 3 9
1 0 0.8571428571428571 4 4 5
2 0 1.25 4 3 1
4 0 0.5555555555555556 4 4 28
3 0 1.5 4 4 2
2 0 1.0 4 3 24
1 1 0.8571428571428571 4 3 15
2 1 2.2 6 3 22
4 1 1.0 8 5 20
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
3 1 0.8333333333333334 6 3 28
2 0 1.0 6 3 27
1 0 2.0 6 3 23
1 0 3.6666666666666665 2 2 0
1 0 3.6666666666666665 2 1 22
1 0 1.0 4 3 7
2 0 1.25 6 3 27
1 0 2.25 4 2 9
1 0 3.6666666666666665 4 2 0
1 0 3.6666666666666665 2 1 22
2 0 0.6666666666666666 6 3 4
1 0 1.0 4 3 7
2 0 1.2 6 2 28
1 0 1.1666666666666667 4 3 7
1 0 2.2 2 3 22
2 1 5.5 2 2 22
2 0 0.4 4 4 2
2 1 5.5 2 2 22
2 0 0.7142857142857143 4 3 28
2 1 1.5 6 3 19
2 0 1.0 6 2 10
2 0 1.2 6 2 28
1 1 1.0 6 3 27
2 0 1.0 4 3 24
1 1 1.0 6 3 27
2 0 3.0 4 1 1
1 0 1.5 4 2 9
2 0 1.0 4 1 24
1 0 5.5 2 1 0
1 1 1.25 4 3 23
2 0 1.4444444444444444 6 4 4
1 0 4.0 2 2 0
1 0 3.6666666666666665 2 1 22
5 1 0.38461538461538464 6 6 12
2 0 0.8 4 3 1
1 0 5.5 2 1 0
3 0 0.5384615384615384 4 3 1
2 0 1.0 6 3 27
1 0 5.5 2 1 0
1 0 3.6666666666666665 2 1 22
3 0 1.0 6 3 2
4 0 0.5555555555555556 4 4 28
3 0 1.0 4 4 2
1 0 1.6666666666666667 4 2 11
2 1 0.5 2 5 2
3 0 1.0 4 3 23
1 1 1.2 4 6 9
1 1 0.75 4 5 15
1 1 1.25 6 3 27
1 0 5.5 4 1 0
1 0 1.875 2 3 22
1 0 3.6666666666666665 2 2 0
2 0 3.0 4 1 1
1 0 1.3333333333333333 4 2 9
2 0 1.2 6 3 28
1 0 1.75 2 3 22
1 1 1.0 6 3 27
1 1 1.25 4 3 23
1 0 3.6666666666666665 2 2 0
2 0 1.2 6 2 28
1 1 1.0 6 3 27
2 0 1.0 6 3 27
2 0 1.2 6 2 28
2 0 1.0 6 3 27
2 0 2.0 4 1 24
2 0 0.8333333333333334 4 3 28
2 0 1.0 6 3 27
1 1 1.0 6 3 27
3 0 1.0 4 4 2
1 0 0.75 4 5 5
1 1 0.8 4 3 23
1 0 1.75 2 3 22
1 1 0.8571428571428571 4 4 15
